Task,Start,End,TotalTaskTime,TaskType,SummaryTotal,SummaryDay,Day,Date,MainTask,TotalTimeMin,TotalTimeHr,SubTask
Todo: Class size chart,2023-01-21 10:08,2023-01-21 10:10,1m 38s,Code,4h 32m 38s,Day 16: 2023-01-21 Code: Add to webpage; DataTable Chart,Day 16,2023-01-21,Code: Add to webpage; DataTable Chart,2,0.033,Data Tables: Interactive 
Questions ,2023-01-21 10:48,2023-01-21 10:49,1m 2s,Admin,4h 32m 38s,Day 16: 2023-01-21 Code: Add to webpage; DataTable Chart,Day 16,2023-01-21,Code: Add to webpage; DataTable Chart,1,0.017,Lists: ToDos; Questions
Todo: workflow documentation; Data table tweaks,2023-01-21 10:51,2023-01-21 10:54,3m 56s,Code,4h 32m 38s,Day 16: 2023-01-21 Code: Add to webpage; DataTable Chart,Day 16,2023-01-21,Code: Add to webpage; DataTable Chart,3,0.05,Workflow: Documentation
Todo: change web page title,2023-01-21 11:03,2023-01-21 11:04,1m 6s,Code,4h 32m 38s,Day 16: 2023-01-21 Code: Add to webpage; DataTable Chart,Day 16,2023-01-21,Code: Add to webpage; DataTable Chart,1,0.017,Webpage: Web Page
Todo: pathways,2023-01-21 11:12,2023-01-21 11:17,5m 6s,Code,4h 32m 38s,Day 16: 2023-01-21 Code: Add to webpage; DataTable Chart,Day 16,2023-01-21,Code: Add to webpage; DataTable Chart,5,0.083,Data Viz: Interactive Pathways
Code: Word Cloud from Course Desc,2023-01-21 12:29,2023-01-21 14:27,1h 57m 33s,Code,4h 32m 38s,Day 16: 2023-01-21 Code: Add to webpage; DataTable Chart,Day 16,2023-01-21,Code: Add to webpage; DataTable Chart,118,1.967,Data Viz
Research: iPad how to create an HTML form,2023-01-21 5:32,2023-01-21 6:00,27m 58s,Research,4h 32m 38s,Day 16: 2023-01-21 Code: Add to webpage; DataTable Chart,Day 16,2023-01-21,Code: Add to webpage; DataTable Chart,28,0.467,Form: Interactive
Code: redo tab for Dataviz; add mermaid flow chart diagram,2023-01-22 3:12,2023-01-22 3:46,33m 45s,Code,7h 23m 57s,Day 17: 2023-01-22 Code: Add to webpage; DataTable Chart,Day 17,2023-01-22,Code: Add to webpage; DataTable Chart,34,0.567,Data Viz
Code: Linked pdf for Mermaid Flow Chart,2023-01-22 4:04,2023-01-22 5:00,55m 46s,Code,7h 23m 57s,Day 17: 2023-01-22 Code: Add to webpage; DataTable Chart,Day 17,2023-01-22,Code: Add to webpage; DataTable Chart,56,0.933,Data Viz
Admin: Update Report,2023-01-22 5:00,2023-01-22 5:16,16m 6s,Admin,7h 23m 57s,Day 17: 2023-01-22 Code: Add to webpage; DataTable Chart,Day 17,2023-01-22,Code: Add to webpage; DataTable Chart,16,0.267,Communication: Report
Code: Experimenting to Create Form for Program Planning,2023-01-22 8:35,2023-01-22 11:17,2h 42m 52s,Code,7h 23m 57s,Day 17: 2023-01-22 Code: Add to webpage; DataTable Chart,Day 17,2023-01-22,Code: Add to webpage; DataTable Chart,162,2.7,Form: Interactive
Code: Webpage Change format & text for consistency,2023-01-22 1:43,2023-01-22 2:42,59m 0s,Code,7h 23m 57s,Day 17: 2023-01-22 Code: Add to webpage; DataTable Chart,Day 17,2023-01-22,Code: Add to webpage; DataTable Chart,59,0.983,Webpage: Web Page
Code: Format change size of tab buttons and title sizeQuestions,2023-01-22 3:35,2023-01-22 3:48,13m 0s,Code,7h 23m 57s,Day 17: 2023-01-22 Code: Add to webpage; DataTable Chart,Day 17,2023-01-22,Code: Add to webpage; DataTable Chart,13,0.217,Webpage: Web Page
Admin: update report with Questions,2023-01-22 3:48,2023-01-22 3:58,10m 0s,Admin,7h 23m 57s,Day 17: 2023-01-22 Code: Add to webpage; DataTable Chart,Day 17,2023-01-22,Code: Add to webpage; DataTable Chart,10,0.167,Communication: Report
Code: PHP Form Styling,2023-01-22 5:11,2023-01-22 6:44,1h 33m 28s,Code,7h 23m 57s,Day 17: 2023-01-22 Code: Add to webpage; DataTable Chart,Day 17,2023-01-22,Code: Add to webpage; DataTable Chart,93,1.55,Form: Interactive
Admin: Time Log check accuracy between save.csv and TimeLog-Current.csv,2023-01-23 8:35,2023-01-23 8:37,2m 3s,Admin,29m 29s,Day 18: 2023-01-23 Report and Time Log Update,Day 18,2023-01-23,Report and Time Log Update,2,0.033,Admin: Time Log
Admin: Ken Josephson Design ideas website feedback,2023-01-23 8:45,2023-01-23 9:05,20m 0s,Admin,29m 29s,Day 18: 2023-01-23 Report and Time Log Update,Day 18,2023-01-23,Report and Time Log Update,20,0.333,Webpage: Web Page
Research: Responsive Design for phone and tablet,2023-01-23 9:07,2023-01-23 9:14,7m 26s,Research,29m 29s,Day 18: 2023-01-23 Report and Time Log Update,Day 18,2023-01-23,Report and Time Log Update,7,0.117,Research
Webpage: Update,2023-01-23 10:40,2023-01-23 10:56,16m 43s,Code,29m 29s,Day 18: 2023-01-23 Report and Time Log Update,Day 18,2023-01-23,Report and Time Log Update,16,0.267,Webpage: Web Page
